example data similar to 12411-03-03-4.csv
some text
some text
some text
some text
some text
some text
;;;;Insgesamt;männlich;more;more;;;;;
31.12.2011;01;Kreis-1;unter 3 Jahre;11097;5322;5775;10497;4972;5525;600;350;250
31.12.2011;01;Kreis-1;3 bis unter 6 Jahre;8878;4258;4620;8398;3978;4420;480;280;200
31.12.2011;01;Kreis-1;6 bis unter 10 Jahre;13317;6387;6930;12597;5967;6630;720;420;300
31.12.2011;01;Kreis-1;10 bis unter 15 Jahre;13317;6387;6930;12597;5967;6630;720;420;300
31.12.2011;01;Kreis-1;15 bis unter 18 Jahre;11097;5322;5775;10497;4972;5525;600;350;250
31.12.2011;01;Kreis-1;18 bis unter 20 Jahre;6658;3193;3465;6298;2983;3315;360;210;150
31.12.2011;01;Kreis-1;20 bis unter 25 Jahre;24414;11709;12705;23094;10939;12155;1320;770;550
31.12.2011;01;Kreis-1;25 bis unter 30 Jahre;31072;14902;16170;29393;13923;15470;1679;979;700
31.12.2011;01;Kreis-1;30 bis unter 35 Jahre;31072;14902;16170;29393;13923;15470;1679;979;700
31.12.2011;01;Kreis-1;35 bis unter 40 Jahre;37731;18096;19635;35691;16906;18785;2040;1190;850
31.12.2011;01;Kreis-1;40 bis unter 45 Jahre;35512;17032;18480;33592;15912;17680;1920;1120;800
31.12.2011;01;Kreis-1;45 bis unter 50 Jahre;31072;14902;16170;29393;13923;15470;1679;979;700
31.12.2011;01;Kreis-1;50 bis unter 55 Jahre;22195;10645;11550;20995;9945;11050;1200;700;500
31.12.2011;01;Kreis-1;55 bis unter 60 Jahre;17756;8516;9240;16796;7956;8840;960;560;400
31.12.2011;01;Kreis-1;60 bis unter 65 Jahre;15535;7450;8085;14696;6961;7735;839;489;350
31.12.2011;01;Kreis-1;65 bis unter 70 Jahre;13317;6387;6930;12597;5967;6630;720;420;300
31.12.2011;01;Kreis-1;70 bis unter 75 Jahre;8878;4258;4620;8398;3978;4420;480;280;200
31.12.2011;01;Kreis-1;75 bis unter 80 Jahre;4439;2129;2310;4199;1989;2210;240;140;100
31.12.2011;01;Kreis-1;80 bis unter 85 Jahre;2219;1064;1155;2099;994;1105;120;70;50
31.12.2011;01;Kreis-1;85 bis unter 90 Jahre;1331;638;693;1259;596;663;72;42;30
31.12.2011;01;Kreis-1;90 Jahre und mehr;887;425;462;839;397;442;48;28;20
31.12.2011;01;Kreis-1;Insgesamt;341794;163924;177870;323318;153148;170170;18476;10776;7700
31.12.2016;02;Kreis-2;unter 3 Jahre;16333;7833;8500;15450;7318;8132;883;515;368
31.12.2016;02;Kreis-2;3 bis unter 6 Jahre;13049;6258;6791;12344;5847;6497;705;411;294
31.12.2016;02;Kreis-2;6 bis unter 10 Jahre;19619;9409;10210;18559;8791;9768;1060;618;442
31.12.2016;02;Kreis-2;10 bis unter 15 Jahre;19619;9409;10210;18559;8791;9768;1060;618;442
31.12.2016;02;Kreis-2;15 bis unter 18 Jahre;16333;7833;8500;15450;7318;8132;883;515;368
31.12.2016;02;Kreis-2;18 bis unter 20 Jahre;9809;4704;5105;9279;4395;4884;530;309;221
31.12.2016;02;Kreis-2;20 bis unter 25 Jahre;35955;17244;18711;34011;16110;17901;1944;1134;810
31.12.2016;02;Kreis-2;25 bis unter 30 Jahre;45765;21949;23816;43291;20506;22785;2474;1443;1031
31.12.2016;02;Kreis-2;30 bis unter 35 Jahre;45765;21949;23816;43291;20506;22785;2474;1443;1031
31.12.2016;02;Kreis-2;35 bis unter 40 Jahre;55575;26654;28921;52571;24902;27669;3004;1752;1252
31.12.2016;02;Kreis-2;40 bis unter 45 Jahre;52333;25099;27234;49504;23449;26055;2829;1650;1179
31.12.2016;02;Kreis-2;45 bis unter 50 Jahre;45765;21949;23816;43291;20506;22785;2474;1443;1031
31.12.2016;02;Kreis-2;50 bis unter 55 Jahre;32713;15689;17024;30945;14658;16287;1768;1031;737
31.12.2016;02;Kreis-2;55 bis unter 60 Jahre;26143;12538;13605;24730;11714;13016;1413;824;589
31.12.2016;02;Kreis-2;60 bis unter 65 Jahre;22859;10963;11896;21623;10242;11381;1236;721;515
31.12.2016;02;Kreis-2;65 bis unter 70 Jahre;19619;9409;10210;18559;8791;9768;1060;618;442
31.12.2016;02;Kreis-2;70 bis unter 75 Jahre;13049;6258;6791;12344;5847;6497;705;411;294
31.12.2016;02;Kreis-2;75 bis unter 80 Jahre;6523;3128;3395;6171;2923;3248;352;205;147
31.12.2016;02;Kreis-2;80 bis unter 85 Jahre;3239;1553;1686;3064;1451;1613;175;102;73
31.12.2016;02;Kreis-2;85 bis unter 90 Jahre;1951;935;1016;1846;874;972;105;61;44
31.12.2016;02;Kreis-2;90 Jahre und mehr;1285;616;669;1216;576;640;69;40;29
31.12.2016;02;Kreis-2;Insgesamt;503301;241379;261922;476098;225515;250583;27203;15864;11339
31.12.2016;03;Kreis-3;unter 3 Jahre;30849;14795;16054;29182;13823;15359;1667;972;695
31.12.2016;03;Kreis-3;3 bis unter 6 Jahre;24679;11836;12843;23345;11058;12287;1334;778;556
31.12.2016;03;Kreis-3;6 bis unter 10 Jahre;37019;17754;19265;35018;16587;18431;2001;1167;834
31.12.2016;03;Kreis-3;10 bis unter 15 Jahre;37019;17754;19265;35018;16587;18431;2001;1167;834
31.12.2016;03;Kreis-3;15 bis unter 18 Jahre;30849;14795;16054;29182;13823;15359;1667;972;695
31.12.2016;03;Kreis-3;18 bis unter 20 Jahre;18508;8876;9632;17508;8293;9215;1000;583;417
31.12.2016;03;Kreis-3;20 bis unter 25 Jahre;67916;32573;35343;64244;30431;33813;3672;2142;1530
31.12.2016;03;Kreis-3;25 bis unter 30 Jahre;86425;41450;44975;81753;38725;43028;4672;2725;1947
31.12.2016;03;Kreis-3;30 bis unter 35 Jahre;86425;41450;44975;81753;38725;43028;4672;2725;1947
