Exland, Exposure to risk (period 1x1), 	Last modified: 01 Jan 2018;  Methods Protocol: vY (2017)

  Year          Age             Female            Male           Total
  2011           0            414410.09       441974.06       856384.15
  2011           1            415550.67       437411.75       852962.42
  2011           2            415360.57       438172.13       853532.70
  2011           3            406806.23       428667.32       835473.55
  2011           4            393499.49       414410.09       807909.58
  2011           5            388747.08       408707.20       797454.28
  2011           6            386846.11       406806.23       793652.34
  2011           7            397301.41       418212.02       815513.43
  2011           8            400152.86       421063.46       821216.32
  2011           9            403004.31       422964.42       825968.73
  2011          10            392549.01       411558.64       804107.65
  2011          11            376390.81       396350.93       772741.74
  2011          12            375440.33       396826.17       772266.50
  2011          13            369737.44       389697.56       759435.00
  2011          14            362133.59       381143.22       743276.81
  2011          15            362608.83       383044.19       745653.02
  2011          16            370687.92       390648.04       761335.96
  2011          17            392549.01       413459.61       806008.62
  2011          18            453379.84       476191.41       929571.25
  2011          19            493300.08       516111.65      1009411.73
  2011          20            527517.43       549378.51      1076895.94
  2011          21            575041.52       599754.05      1174795.57
  2011          22            603555.98       633020.91      1236576.89
  2011          23            623516.10       656782.96      1280299.06
  2011          24            636822.84       674842.12      1311664.96
  2011          25            645377.18       689099.34      1334476.52
  2011          26            652981.03       697653.68      1350634.71
  2011          27            643476.22       687198.38      1330674.60
  2011          28            630169.47       668188.74      1298358.21
  2011          29            617813.20       652981.03      1270794.23
  2011          30            600704.53       635872.36      1236576.89
  2011          31            580744.41       615912.24      1196656.65
  2011          32            558883.33       593100.68      1151984.01
  2011          33            549378.51       581694.89      1131073.40
  2011          34            537972.73       567437.67      1105410.40
  2011          35            531319.36       555081.40      1086400.76
  2011          36            525616.47       542725.14      1068341.61
  2011          37            523715.50       537972.73      1061688.23
  2011          38            521814.54       537022.25      1058836.79
  2011          39            519913.57       536071.77      1055985.34
  2011          40            518012.61       536547.01      1054559.62
  2011          41            493300.08       515161.16      1008461.24
  2011          42            452429.36       474290.45       926719.81
  2011          43            439122.62       459082.74       898205.36
  2011          44            363084.07       377341.30       740425.37
  2011          45            417261.53       432469.24       849730.77
  2011          46            482844.78       502804.90       985649.68
  2011          47            479993.34       501854.42       981847.76
  2011          48            526566.95       549378.51      1075945.46
  2011          49            596902.60       619714.17      1216616.77
  2011          50            612110.31       633020.91      1245131.22
  2011          51            590249.23       608308.39      1198557.62
  2011          52            555081.40       570289.11      1125370.51
  2011          53            535121.28       546527.07      1081648.35
  2011          54            526566.95       533220.32      1059787.27
  2011          55            505656.35       510408.76      1016065.11
  2011          56            445775.99       447676.95       893452.94
  2011          57            403004.31       400152.86       803157.17
  2011          58            411558.64       403004.31       814562.95
  2011          59            433419.73       417261.53       850681.26
  2011          60            443875.03       421063.46       864938.49
  2011          61            441974.06       411558.64       853532.70
  2011          62            436271.17       386846.11       823117.28
  2011          63            435795.93       349302.08       785098.01
  2011          64            449577.92       326015.28       775593.20
  2011          65            447676.95       295599.86       743276.81
  2011          66            439122.62       269936.85       709059.47
  2011          67            446251.23       270887.33       717138.56
  2011          68            467637.07       278491.18       746128.25
  2011          69            476191.41       272788.29       748979.70
  2011          70            412509.12       230967.09       643476.21
  2011          71            383044.19       159680.95       542725.14
  2011          72            220511.79       120711.20       341222.99
  2011          73            224313.72       119760.71       344074.43
  2011          74            268986.36       138770.35       407756.71
  2011          75            342173.47       171086.73       513260.20
  2011          76            375440.33       184393.48       559833.81
  2011          77            364985.03       176789.62       541774.65
  2011          78            341222.99       160631.43       501854.42
  2011          79            318411.42       143522.76       461934.18
  2011          80            305104.68       131166.50       436271.18
  2011          81            281342.63       117859.75       399202.38
  2011          82            251877.69       103602.52       355480.21
  2011          83            222412.75        88394.81       310807.56
  2011          84            191046.85        75088.07       266134.92
  2011          85            161581.92        62731.80       224313.72
  2011          86            136869.39        50375.54       187244.93
  2011          87            114057.82        39920.24       153978.06
  2011          88             94097.70        31365.90       125463.60
  2011          89             73187.10        22811.56        95998.66
  2011          90             56078.43        16158.19        72236.62
  2011          91             42771.68        11405.78        54177.46
