Exland, Life tables (period 1x1), Females	Last modified: 01 Jan 2018;  Methods Protocol: vY (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2011           0      0.00531  0.00528  0.14  100000     529   99546  7778820  77.79
  2011           1      0.00085  0.00085  0.50   99472      85   99430  7679274  77.20
  2011           2      0.00027  0.00027  0.50   99388      28   99374  7579844  76.27
  2011           3      0.00020  0.00020  0.50   99361      21   99351  7480470  75.29
  2011           4      0.00019  0.00019  0.50   99341      20   99331  7381120  74.30
  2011           5      0.00020  0.00020  0.50   99322      20   99312  7281789  73.32
  2011           6      0.00020  0.00020  0.50   99302      20   99292  7182478  72.33
  2011           7      0.00020  0.00020  0.50   99282      21   99272  7083187  71.34
  2011           8      0.00021  0.00021  0.50   99262      21   99251  6983915  70.36
  2011           9      0.00021  0.00021  0.50   99241      22   99230  6884664  69.37
  2011          10      0.00022  0.00022  0.50   99220      22   99209  6785434  68.39
  2011          11      0.00023  0.00023  0.50   99198      23   99187  6686226  67.40
  2011          12      0.00023  0.00023  0.50   99176      24   99164  6587040  66.42
  2011          13      0.00024  0.00024  0.50   99153      24   99141  6487876  65.43
  2011          14      0.00025  0.00025  0.50   99129      25   99117  6388736  64.45
  2011          15      0.00026  0.00026  0.50   99104      26   99092  6289619  63.46
  2011          16      0.00027  0.00027  0.50   99079      27   99066  6190528  62.48
  2011          17      0.00028  0.00028  0.50   99053      28   99039  6091463  61.50
  2011          18      0.00029  0.00029  0.50   99025      29   99011  5992425  60.51
  2011          19      0.00030  0.00030  0.50   98996      31   98981  5893414  59.53
  2011          20      0.00032  0.00032  0.50   98966      32   98951  5794433  58.55
  2011          21      0.00034  0.00034  0.50   98935      34   98918  5695483  57.57
  2011          22      0.00035  0.00035  0.50   98902      35   98884  5596566  56.59
  2011          23      0.00037  0.00037  0.50   98867      37   98848  5497682  55.61
  2011          24      0.00040  0.00040  0.50   98830      40   98810  5398834  54.63
  2011          25      0.00042  0.00042  0.50   98791      42   98770  5300024  53.65
  2011          26      0.00045  0.00045  0.50   98749      45   98727  5201255  52.67
  2011          27      0.00048  0.00048  0.50   98705      48   98681  5102529  51.70
  2011          28      0.00051  0.00051  0.50   98657      51   98632  5003848  50.72
  2011          29      0.00055  0.00055  0.50   98607      55   98580  4905217  49.75
  2011          30      0.00059  0.00059  0.50   98553      59   98523  4806637  48.77
  2011          31      0.00064  0.00064  0.50   98494      63   98463  4708114  47.80
  2011          32      0.00069  0.00069  0.50   98431      68   98398  4609652  46.83
  2011          33      0.00074  0.00074  0.50   98364      74   98327  4511255  45.86
  2011          34      0.00081  0.00081  0.50   98291      80   98251  4412928  44.90
  2011          35      0.00087  0.00087  0.50   98211      86   98168  4314678  43.93
  2011          36      0.00095  0.00095  0.50   98126      94   98079  4216510  42.97
  2011          37      0.00103  0.00103  0.50   98032     102   97982  4118431  42.01
  2011          38      0.00113  0.00113  0.50   97931     111   97876  4020450  41.05
  2011          39      0.00123  0.00123  0.50   97821     121   97760  3922575  40.10
  2011          40      0.00134  0.00134  0.50   97700     132   97635  3824815  39.15
  2011          41      0.00147  0.00147  0.50   97569     144   97497  3727181  38.20
  2011          42      0.00161  0.00161  0.50   97426     157   97347  3629684  37.26
  2011          43      0.00176  0.00176  0.50   97269     172   97183  3532337  36.32
  2011          44      0.00193  0.00193  0.50   97098     188   97004  3435154  35.38
  2011          45      0.00212  0.00212  0.50   96910     206   96807  3338151  34.45
  2011          46      0.00233  0.00233  0.50   96704     226   96592  3241344  33.52
  2011          47      0.00256  0.00256  0.50   96479     248   96356  3144752  32.60
  2011          48      0.00282  0.00282  0.50   96232     271   96097  3048397  31.68
  2011          49      0.00310  0.00310  0.50   95961     298   95813  2952301  30.77
  2011          50      0.00342  0.00341  0.50   95664     327   95501  2856489  29.86
  2011          51      0.00376  0.00376  0.50   95338     359   95159  2760989  28.96
  2011          52      0.00415  0.00414  0.50   94980     394   94783  2665830  28.07
  2011          53      0.00457  0.00456  0.50   94587     432   94371  2571048  27.18
  2011          54      0.00504  0.00503  0.50   94155     474   93918  2476678  26.30
  2011          55      0.00556  0.00555  0.50   93682     520   93422  2382760  25.43
  2011          56      0.00614  0.00612  0.50   93162     571   92877  2289338  24.57
  2011          57      0.00677  0.00675  0.50   92592     626   92279  2196462  23.72
  2011          58      0.00748  0.00745  0.50   91967     686   91624  2104183  22.88
  2011          59      0.00826  0.00823  0.50   91282     751   90906  2012559  22.05
  2011          60      0.00912  0.00908  0.50   90531     823   90120  1921654  21.23
  2011          61      0.01008  0.01003  0.50   89709     900   89259  1831534  20.42
  2011          62      0.01113  0.01107  0.50   88809     984   88317  1742276  19.62
  2011          63      0.01230  0.01223  0.50   87826    1075   87289  1653959  18.83
  2011          64      0.01360  0.01351  0.50   86752    1172   86166  1566671  18.06
  2011          65      0.01503  0.01492  0.50   85580    1277   84942  1480506  17.30
  2011          66      0.01662  0.01648  0.50   84303    1390   83609  1395565  16.55
  2011          67      0.01837  0.01820  0.50   82914    1510   82159  1311957  15.82
  2011          68      0.02031  0.02011  0.50   81405    1637   80586  1229798  15.11
  2011          69      0.02246  0.02221  0.50   79768    1772   78882  1149212  14.41
  2011          70      0.02484  0.02453  0.50   77996    1914   77039  1070331  13.72
  2011          71      0.02747  0.02710  0.50   76083    2062   75052   993292  13.06
  2011          72      0.03038  0.02992  0.50   74021    2215   72914   918241  12.41
  2011          73      0.03360  0.03304  0.50   71806    2373   70620   845327  11.77
  2011          74      0.03716  0.03649  0.50   69434    2534   68167   774708  11.16
  2011          75      0.04111  0.04028  0.50   66900    2695   65553   706542  10.56
  2011          76      0.04547  0.04446  0.50   64205    2855   62778   640989   9.98
  2011          77      0.05030  0.04907  0.50   61351    3011   59845   578212   9.42
  2011          78      0.05565  0.05414  0.50   58340    3159   56761   518367   8.89
  2011          79      0.06157  0.05973  0.50   55182    3296   53534   461606   8.37
  2011          80      0.06811  0.06587  0.50   51886    3418   50177   408073   7.86
  2011          81      0.07536  0.07262  0.50   48468    3520   46708   357897   7.38
  2011          82      0.08337  0.08004  0.50   44948    3598   43150   311189   6.92
  2011          83      0.09224  0.08818  0.50   41351    3647   39528   268040   6.48
  2011          84      0.10206  0.09710  0.50   37705    3662   35874   228512   6.06
  2011          85      0.11292  0.10689  0.50   34044    3639   32224   192638   5.66
  2011          86      0.12494  0.11760  0.50   30405    3576   28617   160415   5.28
  2011          87      0.13825  0.12931  0.50   26830    3470   25095   131798   4.91
  2011          88      0.15297  0.14210  0.50   23360    3320   21701   106703   4.57
  2011          89      0.16926  0.15605  0.50   20041    3128   18477    85003   4.24
  2011          90      0.18728  0.17125  0.50   16914    2897   15465    66526   3.93
  2011          91      0.20723  0.18778  0.50   14017    2633   12701    51061   3.64
  2011          92      0.22931  0.20572  0.50   11385    2343   10214    38361   3.37
  2011          93      0.25374  0.22517  0.50    9043    2037    8025    28147   3.11
  2011          94      0.28077  0.24621  0.50    7007    1726    6145    20122   2.87
  2011          95      0.31068  0.26891  0.50    5282    1421    4572    13978   2.65
  2011          96      0.34379  0.29336  0.50    3862    1133    3295     9407   2.44
  2011          97      0.38042  0.31963  0.50    2729     873    2293     6112   2.24
  2011          98      0.42096  0.34776  0.50    1857     646    1534     3819   2.06
  2011          99      0.46582  0.37782  0.50    1211     458     983     2286   1.89
  2011         100      0.51546  0.40984  0.50     754     309     599     1304   1.73
  2011         101      0.57040  0.44382  0.50     445     198     346      705   1.58
  2011         102      0.63119  0.47978  0.50     248     119     188      359   1.45
  2011         103      0.69846  0.51768  0.50     129      67      96      171   1.32
  2011         104      0.77291  0.55747  0.50      63      35      45       76   1.21
  2011         105      0.85529  0.59909  0.50      28      17      20       31   1.10
